smiles id prediction adm pass/fail
COCCNC(=O)[C@H]1CCC[C@H]1c1ccsc1 ANT-DIA-045cfdc4-2 3 1 fail
O=C(Nc1cncnc1)[C@H]1CCC[C@H]1c1ccsc1 ANT-DIA-045cfdc4-3 3 1 fail
O=C(NCc1ccccn1)[C@H]1CCC[C@H]1c1ccsc1 ANT-DIA-045cfdc4-4 3 2 pass
O=C(NCc1cccnc1)[C@H]1CCC[C@H]1c1ccsc1 ANT-DIA-045cfdc4-5 3 2 pass
CC(=O)N1CCNC2NC(=O)N(c3cccnc3)C21 NIM-UNI-36e12f95-1 3 2 pass
CC(=O)N1CCN(Cc2ccccc2)C2NC(=O)N(c3cccnc3)C21 NIM-UNI-36e12f95-2 3 2 pass
CC(=O)c1ccc(Br)c2[nH]c(=O)n(-c3cccnc3)c12 NIM-UNI-36e12f95-3 NA NA fail
CC(=O)c1ccc(Cc2ccc(Br)cc2)c2[nH]c(=O)n(-c3cccnc3)c12 NIM-UNI-36e12f95-4 NA NA fail
CC(=O)c1ccc(C#N)c2[nH]c(=O)n(-c3cccnc3)c12 NIM-UNI-36e12f95-5 NA NA fail
CC(=O)N1CCN(C(=O)CCl)C[C@@H]1c1cccnc1/C(C)=N/O IAN-BAS-d38e7e67-1 3 2 pass
O=C(O)CCC(=O)N1CCN(S(=O)(=O)c2cc(F)cc(F)c2)CC1 ZAC-MCD-2bc172dc-1 3 1 fail
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2 KTA-UNK-96ef4e68-1 4 3 pass
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1 KTA-UNK-96ef4e68-2 3 3 pass
CCCCCCCCCCCCCCCC(=O)Oc1c(O)ccc(C2Oc3cc(O)cc(O)c3CC2OC(=O)c2cc(O)c(O)c(O)c2)c1O KTA-UNK-96ef4e68-3 3 2 pass
C#Cc1ccnc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-fad6815c-1 2 2 fail
C#Cc1cccc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-fad6815c-2 2 2 fail
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1 PAT-GYR-359dbb24-1 3 2 pass
O=C(NCc1ccc(C#CBr)cc1)N1CCOCC1 PAT-GYR-359dbb24-2 3 2 pass
COC(=O)C#Cc1ccc(CNC(=O)N2CCOCC2)cc1 PAT-GYR-359dbb24-3 3 2 pass
NC(=O)C#Cc1ccc(CNC(=O)N2CCOCC2)cc1 PAT-GYR-359dbb24-4 3 2 pass
O=C(NCc1ccc(C#CCCO)cc1)N1CCOCC1 PAT-GYR-359dbb24-5 3 2 pass
CC(=O)N1CCN(Cc2cc(O)cc(Cl)c2)CC1 KIM-UNI-2ee5d8f9-1 3 2 pass
C=Cc1ncc(C)c(CCNC(C)=O)c1NC(=O)N(Cc1nc(F)nc(OC)n1)c1cc(C)ccn1 AGN-NEW-9d245c51-1 3 2 pass
C=Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(CC1CCOCC1)c1cc(C)ccn1 AGN-NEW-9d245c51-2 3 2 pass
C=Cc1ncc(C)c(CCNC(C)=O)c1NC(=O)N(Cc1ncnc(OC)n1)c1cc(C)ccn1 AGN-NEW-9d245c51-3 3 2 pass
C=Cc1ncc(C)c(CCNC(=O)CN2CCCCC2)c1NC(=O)N(Cc1ncnc(OC)n1)c1cc(C)ccn1 AGN-NEW-9d245c51-4 3 2 pass
C=Cc1ncc(C)c(CCNC(=O)CN2CCOCC2)c1NC(=O)N(Cc1ncnc(OC)n1)c1cc(C)ccn1 AGN-NEW-9d245c51-5 3 2 pass
Cc1ccncc1NS(=O)(=O)/C=C/NC(=O)c1cccs1 AGN-NEW-95323f67-1 3 1 fail
Cc1ccnc(F)c1NS(=O)(=O)/C=C/NC(=O)C(C)C AGN-NEW-95323f67-2 3 1 fail
COc1cnc(CS(=O)(=O)Nc2c(C)ccnc2F)cc1-c1cccs1 AGN-NEW-95323f67-3 3 1 fail
COc1cc(-c2cccs2)cc(CS(=O)(=O)Nc2c(C)ccnc2F)n1 AGN-NEW-95323f67-4 3 1 fail
Cc1ccnc(F)c1NS(=O)(=O)/C=C/NC(=O)C1CCCC1 AGN-NEW-95323f67-5 3 1 fail
Cc1ccnc(F)c1NS(=O)(=O)/C=C/NC(=O)c1cccs1 AGN-NEW-95323f67-6 3 1 fail
C#Cc1cccc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-1 2 2 fail
C#Cc1cccc(CN(C(=O)Nc2c(CN3CCCCC3)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-2 3 2 pass
C#Cc1ccnc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-3 2 2 fail
C#Cc1cccc(CN(C(=O)Nc2cccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-4 3 2 pass
C#Cc1cc(F)cc(CN(C(=O)Nc2cccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-5 NA 2 fail
C#Cc1cccc(CN(C(=O)Nc2c(C)ccnc2C)c2nccc(C(C)C)n2)n1 AGN-NEW-817c14da-6 3 2 pass
COc1ccc(-n2cc(CN3CCN(C(=O)CCl)CC3)nn2)cc1 ANT-STE-dbb91f63-1 3 2 pass
COc1cccc(-n2cc(CN3CCN(C(=O)CCl)CC3)nn2)c1 ANT-STE-dbb91f63-2 3 2 pass
COc1ccccc1-n1cc(CN2CCN(C(=O)CCl)CC2)nn1 ANT-STE-dbb91f63-3 3 2 pass
O=C(CCl)N1CCN(C(CCc2ccccc2)c2cccc(Cl)c2)CC1 PAU-WEI-b9b69149-1 3 2 pass
O=C(CCl)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(Cl)c2)CC1 PAU-WEI-b9b69149-2 2 2 fail
Cc1ccc(CCC(c2cccc(Cl)c2)N2CCN(C(=O)CCl)CC2)cc1 PAU-WEI-b9b69149-3 3 2 pass
N#Cc1cccc(C(CCc2ccccc2)N2CCN(C(=O)CCl)CC2)c1 PAU-WEI-b9b69149-4 2 2 fail
N#Cc1cccc(C(CCc2ccc(C(F)(F)F)cc2)N2CCN(C(=O)CCl)CC2)c1 PAU-WEI-b9b69149-5 2 2 fail
Cc1ccc(CCC(c2cccc(C#N)c2)N2CCN(C(=O)CCl)CC2)cc1 PAU-WEI-b9b69149-6 3 2 pass
CC(=O)NCCc1c[nH]c2c(C(CCc3ccccc3)N3CCN(C(=O)CCl)CC3)cccc12 PAU-WEI-b9b69149-7 3 3 pass
CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C)cc3)N3CCN(C(=O)CCl)CC3)cccc12 PAU-WEI-b9b69149-8 3 2 pass
